compound	Species	V1	Var	Mean	VarShare
C00431	446135	0	428286034448.003	152193.798256538	0
C00431	4462541	0	428286034448.003	152193.798256538	0
C00431	4463108	0	428286034448.003	152193.798256538	0
C00431	4464113	0	428286034448.003	152193.798256538	0
C00431	4464787	0	428286034448.003	152193.798256538	0
C00431	4467447	0	428286034448.003	152193.798256538	0
C00431	4471135	0	428286034448.003	152193.798256538	0
C00431	4471525	0	428286034448.003	152193.798256538	0
C00431	4475886	0	428286034448.003	152193.798256538	0
C00431	4476330	0	428286034448.003	152193.798256538	0
C00431	4476780	0	428286034448.003	152193.798256538	0
C00431	4480176	0	428286034448.003	152193.798256538	0
C00431	4480555	0	428286034448.003	152193.798256538	0
